Reprocess Remarks,Top Clients,Total
Resume not uploaded,Bharti Airtel Limited,54
Update experience details,Axis Bank Limited,7
Resume not uploaded,Axis Bank Limited,7
Update experience details,Sbi Cards And Payment Services Limited,6
Resume not uploaded,Sbi Cards And Payment Services Limited,6
Update experience details,Bharti Airtel Services Limited,6
Resume not uploaded,Bharti Airtel Services Limited,6
Update experience details,Behariji Mills Pvt Ltd,5
Resume not uploaded,Behariji Mills Pvt Ltd,5
Update experience details,Tvs Credit,2
Resume not uploaded,Tvs Credit,2
Update experience details,Reliance Projects And Property Management Services Limited,2
Resume not uploaded,Reliance Projects And Property Management Services Limited,2
Update experience details,State Bank Of India,1
Resume not uploaded,State Bank Of India,1
Update experience details,Xiaomi Technology India Private Limited,1
Resume not uploaded,Xiaomi Technology India Private Limited,1
Update experience details,Vodafone Idea Limited,1
Resume not uploaded,Vodafone Idea Limited,1
Update experience details,Aditya Birla Lifestyle Brands Limited,75
Upload experience letter,Aditya Birla Lifestyle Brands Limited,75
Update experience details,Tvs Credit,55
Upload experience letter,Tvs Credit,55
Update experience details,Urban Company Limited,34
Upload experience letter,Urban Company Limited,34
Update experience details,Instakart Services Private Limited,26
Upload experience letter,Instakart Services Private Limited,26
Update experience details,Hindustan Field Services Pvt Ltd,25
Upload experience letter,Hindustan Field Services Pvt Ltd,25
Update experience details,Xiaomi Technology India Private Limited,22
Upload experience letter,Xiaomi Technology India Private Limited,22
Update experience details,Reliance Projects And Property Management Services Limited,19
Upload experience letter,Reliance Projects And Property Management Services Limited,19
Update experience details,Behariji Mills Pvt Ltd,13
Upload experience letter,Behariji Mills Pvt Ltd,13
Update experience details,Havells India Limited,13
Upload experience letter,Havells India Limited,13
Update experience details,Vodafone Idea Limited,11
Upload experience letter,Vodafone Idea Limited,11
Update experience details,Samsung India Electronics Private Limited,11
Upload experience letter,Samsung India Electronics Private Limited,11
Update experience details,Pocket Entertainment Ventures Private Limited,7
Upload experience letter,Pocket Entertainment Ventures Private Limited,7
Update experience details,Samsung India Electronics Private Limited,207
